run,type,module,name,attrname,attrvalue,value
General-0-20220529-23:29:13-1994,runattr,,,configname,General,
General-0-20220529-23:29:13-1994,runattr,,,datetime,20220529-23:29:13,
General-0-20220529-23:29:13-1994,runattr,,,experiment,General,
General-0-20220529-23:29:13-1994,runattr,,,inifile,omnetpp.ini,
General-0-20220529-23:29:13-1994,runattr,,,iterationvars,,
General-0-20220529-23:29:13-1994,runattr,,,iterationvarsf,,
General-0-20220529-23:29:13-1994,runattr,,,measurement,,
General-0-20220529-23:29:13-1994,runattr,,,network,Network,
General-0-20220529-23:29:13-1994,runattr,,,processid,1994,
General-0-20220529-23:29:13-1994,runattr,,,repetition,0,
General-0-20220529-23:29:13-1994,runattr,,,replication,#0,
General-0-20220529-23:29:13-1994,runattr,,,resultdir,results,
General-0-20220529-23:29:13-1994,runattr,,,runnumber,0,
General-0-20220529-23:29:13-1994,runattr,,,seedset,0,
General-0-20220529-23:29:13-1994,param,,,Network.sender.senderAppLayer.generationInterval,exponential(0.05),
General-0-20220529-23:29:13-1994,param,,,Network.**.maxSeqNum,2147483647,
General-0-20220529-23:29:13-1994,param,,,Network.**.packetByteSize,12500,
General-0-20220529-23:29:13-1994,param,,,Network.dataQueue.bufferSize,100,
General-0-20220529-23:29:13-1994,param,,,Network.ackQueue.bufferSize,100,
General-0-20220529-23:29:13-1994,param,,,Network.sender.transpSend.bufferSize,2000000,
General-0-20220529-23:29:13-1994,param,,,Network.sender.transpSend.rtt,1s,
General-0-20220529-23:29:13-1994,param,,,Network.sender.transpSend.timeout,3s,
General-0-20220529-23:29:13-1994,param,,,Network.rec.transpRec.bufferSize,200,
General-0-20220529-23:29:13-1994,scalar,Network.sender.senderAppLayer,Number of packets generated,,,5847
General-0-20220529-23:29:13-1994,scalar,Network.sender.transpSend,Avg Buffer Size Send,,,2192.9900572051
General-0-20220529-23:29:13-1994,scalar,Network.rec.recAppLayer,Avg delay,,,114.24457535265
General-0-20220529-23:29:13-1994,scalar,Network.rec.recAppLayer,Number of packets,,,1480
General-0-20220529-23:29:13-1994,scalar,Network.rec.transpRec,Avg Buffer Size Rec,,,0.5
