| 2.1 | 144 | 144 | 0 | 0 | 0.40 |
| 0.9 | 367 | 367 | 0 | 0 | 0.43 |
| 0.45 | 754 | 754 | 0 | 0 | 0.49 |
| 0.31 | 989 | 989 | 0 | 0 | 0.58 |
| 0.258 | 1190 | 1187 | 0 | 0 | 0.72 |
| 0.24 | 1280 | 1279 | 0 | 0 | 0.94 |
| 0.23 | 1344 | 1344 | 0 | 0 | 1.11 |
| 0.22 | 1418 | 1401 | 0 | 0 | 1.49 |
| 0.21 | 1494 | 1469 | 0 | 0 | 2.41 |
| 0.19 | 1664 | 1494 | 0 | 0 | 14.52 |
| 0.185 | 1710 | 1496 | 0 | 15 | 18.07 |
| 0.18 | 1763 | 1497 | 0 | 65 | 21.54 |
| 0.175 | 1867 | 1497 | 0 | 166 | 26.45 |
| 0.16 | 1979 | 1498 | 0 | 278 | 29.16 |
| 0.15 | 2136 | 1498 | 0 | 438 | 30.99 |
| 0.12 | 2933 | 1498 | 0 | 1231 | 35.83 |
