| 2.0   | 144  | 144  | 0      | 0      | 0.40      | 0.2 | 0.2          | 0   |
| 0.8   | 367  | 367  | 0      | 0      | 0.43      | 0.2 | 0.2          | 0   |
| 0.4   | 754  | 754  | 0      | 0      | 0.49      | 0.2 | 0.21         | 0   |
| 0.3   | 989  | 989  | 0      | 0      | 0.58      | 0.2 | 0.22         | 0   |
| 0.25  | 1190 | 1187 | 0      | 0      | 0.72      | 0.2 | 0.23         | 0   |
| 0.23  | 1280 | 1279 | 0      | 0      | 0.94      | 0.2 | 0.23         | 0   |
| 0.22  | 1344 | 1334 | 0      | 0      | 1.11      | 0.2 | 0.23         | 0   |
| 0.21  | 1418 | 1401 | 0      | 0      | 1.49      | 0.2 | 0.24         | 0   |
| 0.2   | 1494 | 1469 | 0      | 0      | 2.41      | 0.2 | 0.25         | 0   |
| 0.18  | 1664 | 1494 | 0      | 0      | 14.52     | 0.2 | 0.26         | 0   |
| 0.175 | 1710 | 1496 | 0      | 0      | 18.07     | 0.2 | 0.33         | 0   |
| 0.17  | 1763 | 1497 | 0      | 0      | 21.68     | 0.2 | 1.18         | 0   |
| 0.16  | 1867 | 1497 | 0      | 0      | 29.15     | 0.2 | 5.35         | 0   |
| 0.15  | 1979 | 1498 | 0      | 0      | 36.64     | 0.2 | 11.4         | 0   |
| 0.14  | 2136 | 1498 | 0      | 0      | 44.17     | 0.2 | 18           | 0   |
| 0.1   | 2933 | 1498 | 0      | 0      | 74.41     | 0.2 | 49           | 0   |
